route_id,route_short_name,route_long_name,route_desc,agency_id,route_type,route_color,route_text_color,route_url
1,ACL,Atlantic City Rail Line,,NJT,2,075AAA,,
2,MBL,Montclair-Boonton Line,,NJT,2,E66859,,
3,MBL,Montclair-Boonton Line,,NJT,2,E66859,,
4,HBLR,Hudson-Bergen Light Rail,,NJT,0,8080,,
5,MBCL,Main/Bergen County Line,,NJT,2,FFD411,,
6,PJL,Port Jervis Line,,NJT,2,FFD411,,
7,MEL,Morris & Essex Line,,NJT,2,08A652,,
8,GB,Gladstone Branch,,NJT,2,A4C9AA,,
9,NEC,Northeast Corridor,,NJT,2,DD3439,,
10,NJCL,North Jersey Coast Line,,NJT,2,03A3DF,,
11,NJCL,North Jersey Coast Line,,NJT,2,03A3DF,,
12,NLR,Newark Light Rail,,NJT,0,009AD1,,
13,PVL,Pascack Valley Line,,NJT,2,94219A,,
14,DINKY,Princeton Shuttle,,NJT,2,DD3439,,
15,RVL,Raritan Valley Line,,NJT,2,F2A537,,
16,RLR,Riverline Light Rail,,NJT,0,00008B,,
17,BMRL,BetMGM Meadowlands Rail Line,,NJT,2,9370DB,,
